# xollvm SLE pool v1 — nonlinear-lifted SLE runtime-zero forms
# basis order: one x y and or xor nx ny nand nor xnor xany nxay
# line: <base:add|sub> <lift:cube|pow4|prodsq> <13 int coeffs of spelling f>
#   zero(x,y) = lift(f) - lift(canonical(base)),  f == canonical(base)
add prodsq 0 -3 0 2 4 1 -4 -1 0 6 -1 0 0
add cube 0 0 0 2 3 -7 -2 -2 7 0 -3 0 0
sub pow4 0 0 0 0 0 0 1 0 -1 0 0 2 -1
sub prodsq 3 0 0 0 0 -2 1 0 -1 0 -3 1 -2
sub cube 2 -1 0 -1 0 -1 -1 0 0 -1 0 1 -1
add prodsq -1 1 0 2 0 1 1 0 0 0 0 0 0
add pow4 1 -3 2 2 0 -2 0 5 0 -6 0 0 0
add pow4 3 1 0 -2 0 1 3 -4 0 -2 0 0 -6
add pow4 0 0 0 0 0 -2 0 -2 0 0 2 5 3
sub cube -1 3 -1 0 0 0 0 -1 0 3 -1 0 1
sub prodsq -2 0 0 2 0 1 0 1 0 1 0 1 0
sub cube 0 0 -2 0 2 0 3 0 -3 0 0 2 -1
sub pow4 0 -2 0 2 2 0 2 0 0 0 -2 1 -5
add prodsq 1 1 -1 2 0 0 1 -1 0 0 -1 0 0
add cube 3 -1 -1 4 0 1 0 0 0 0 -3 -2 -2
sub cube 0 -1 0 2 0 -1 1 0 0 0 -1 3 -1
sub pow4 0 0 1 0 0 0 0 0 0 1 -1 1 -2
add cube 0 0 0 2 0 1 0 -3 3 0 0 0 -3
sub prodsq 0 0 0 0 0 -2 0 -3 3 0 0 3 -2
add prodsq 2 0 -3 0 3 1 -5 0 0 3 0 -5 3
sub pow4 0 -1 0 1 0 -2 0 -2 2 0 0 4 -1
sub prodsq 0 0 1 -1 0 0 2 -3 1 0 0 3 -5
add cube 3 3 -6 2 0 2 0 -3 0 0 0 -4 2
sub pow4 0 3 0 0 -3 3 5 0 -3 -2 0 1 -3
sub cube 0 0 3 -1 -3 0 0 -2 0 1 1 6 -1
add cube 3 0 0 2 0 1 0 0 -3 3 -3 0 0
sub prodsq -3 0 0 0 3 0 0 3 0 0 0 -2 -1
sub pow4 -3 0 -2 0 0 3 0 -4 2 0 5 3 -1
add pow4 0 0 0 2 0 1 0 0 0 0 0 0 0
add prodsq 0 -2 0 4 0 4 0 0 -3 3 0 2 0
sub prodsq 0 -1 0 0 0 1 -2 0 0 1 1 1 0
add pow4 0 0 0 0 0 1 0 0 0 -2 2 0 0
add cube 0 3 0 3 -3 1 0 0 0 1 -1 0 3
sub cube 0 0 -2 0 0 0 -3 0 0 1 2 1 4
sub cube -4 0 0 0 -1 6 0 0 -1 0 5 1 -1
add prodsq 0 0 0 2 0 1 -3 0 3 0 0 -3 0
add pow4 5 0 0 -3 0 1 -3 -5 0 3 0 0 -2
add cube 0 3 -1 2 0 -2 4 0 0 -2 -2 0 0
add cube 0 0 0 2 0 1 -3 -3 3 3 0 0 0
add cube 0 2 0 0 0 1 0 0 0 0 0 -2 0
sub cube 3 -3 3 0 0 0 0 0 0 0 -3 1 -7
sub prodsq -3 4 0 -2 0 0 0 2 0 0 1 -2 2
add prodsq 1 -1 -2 2 2 1 1 0 -2 0 0 0 0
add cube 0 0 -2 3 -1 4 0 -2 0 0 2 0 0
sub prodsq 0 -2 0 -1 0 0 0 0 0 -3 3 3 -1
sub pow4 0 0 -1 1 0 0 0 -1 1 0 0 1 -1
add cube 0 0 -2 4 0 1 0 3 -3 0 0 0 5
add pow4 1 0 0 -1 2 1 0 0 -1 0 0 -2 -2
sub prodsq 1 0 0 -4 3 -3 -1 0 0 0 0 0 -1
add prodsq 0 0 3 -1 0 -2 0 1 2 -3 0 0 -2
sub prodsq -2 0 0 2 0 0 0 0 2 0 0 1 -1
sub pow4 1 0 -1 -1 1 0 0 0 -1 0 0 0 -1
sub cube 3 0 -4 0 1 6 -3 0 0 0 0 -9 -4
add cube 0 0 3 2 -1 1 -3 0 1 4 -2 0 0
add pow4 0 0 0 2 0 1 -3 0 0 3 0 0 3
sub pow4 0 1 0 -3 2 0 -2 0 0 2 0 -2 -1
add pow4 3 2 0 2 -5 1 0 -3 0 0 0 3 2
add cube 0 0 0 2 0 -3 0 0 0 0 0 4 4
sub prodsq 0 1 0 0 -1 1 0 0 0 0 0 0 -1
sub pow4 1 -3 -2 0 1 0 0 0 0 -4 3 2 -1
add prodsq 0 0 0 2 0 2 0 -2 1 1 0 0 -2
add cube 0 -1 1 2 0 0 0 3 0 -3 0 -1 0
sub pow4 0 0 0 1 -1 0 1 1 0 -2 0 1 -1
add prodsq 0 0 -4 3 0 1 0 -10 7 0 3 3 -3
sub pow4 0 3 0 -1 0 -2 2 0 0 0 -2 0 -1
sub pow4 0 0 0 0 0 0 0 1 1 -2 0 -1 -2
sub prodsq 0 0 -2 2 0 0 0 -1 1 0 0 1 0
sub pow4 0 2 0 0 -2 0 2 0 0 -2 0 1 -1
add cube 3 0 0 -1 0 1 0 0 -3 0 0 0 0
add prodsq 4 -3 0 1 0 1 0 0 -4 0 0 3 0
sub prodsq 0 0 2 -1 0 -2 0 2 0 -1 -1 1 -1
sub pow4 -5 0 0 2 3 0 -1 0 2 4 0 1 0
add pow4 0 0 0 2 0 -2 3 2 0 -5 0 1 0
